City/Town,2014 Median Price,2013 Median Price,One-Year Price % Change,Five-Year Price % Change,Ten-Year Price % Change,2014 Days on Market,2014 Number of Sales
Peabody,341000.0,320000.0,6.6,15.6,-7.7,64.0,360.0
Pembroke,309900.0,320000.0,-3.2,5.1,-11.5,93.0,193.0
Plainville,351000.0,350000.0,0.3,15.3,-4.9,76.0,68.0
Plymouth,309900.0,287838.0,7.7,10.4,-7.4,125.0,624.0
Plympton,295000.0,315000.0,-6.3,5.4,-26.3,125.0,43.0
Quincy,375000.0,348000.0,7.8,17.2,5.6,62.0,547.0
Randolph,255000.0,240000.0,6.3,13.3,-19.0,74.0,268.0
Raynham,307500.0,270550.0,13.7,-2.9,-11.9,113.0,110.0
Reading,475000.0,460000.0,3.3,18.8,12.8,42.0,258.0
Revere,284000.0,255000.0,11.4,29.1,-11.3,72.0,177.0
Rockland,268000.0,235000.0,14.0,5.5,-14.9,104.0,135.0
Rockport,425000.0,440000.0,-3.4,11.3,-5.0,134.0,68.0
Rowley,400000.0,387900.0,3.1,-4.8,2.6,83.0,47.0
Salem,327500.0,300000.0,9.2,17.0,0.8,91.0,186.0
Salisbury,299500.0,284500.0,5.3,8.5,-8.1,94.0,56.0
Saugus,321000.0,295000.0,8.8,16.7,-7.8,78.0,209.0
Scituate,490500.0,461000.0,6.4,18.9,-4.8,113.0,254.0
Sharon,488425.0,469950.0,3.9,31.1,13.5,62.0,214.0
Sherborn,745000.0,745000.0,0.0,18.4,0.9,115.0,53.0
Somerville,545000.0,544350.0,0.1,46.3,39.8,51.0,93.0
Southborough,580000.0,485000.0,19.6,46.8,13.0,79.0,115.0
Stoneham,415000.0,400000.0,3.8,14.7,5.1,67.0,190.0
Stoughton,305500.0,292500.0,4.4,17.5,-12.7,69.0,226.0
Stow,446000.0,435500.0,2.4,15.1,0.8,93.0,92.0
Sudbury,685000.0,675000.0,1.5,18.7,6.2,97.0,247.0
Swampscott,439000.0,425000.0,3.3,11.0,-2.0,91.0,145.0
Taunton,229700.0,225000.0,2.1,3.0,-20.8,111.0,294.0
Tewksbury,342000.0,317000.0,7.9,10.3,-3.5,74.0,283.0
Topsfield,559500.0,477500.0,17.2,26.2,2.7,139.0,68.0
Wakefield,427750.0,407500.0,5.0,12.6,6.9,45.0,256.0
Walpole,434500.0,419000.0,3.7,20.0,6.4,78.0,256.0
Waltham,449450.0,424400.0,5.9,15.8,11.0,44.0,396.0
Watertown,528000.0,462000.0,14.3,28.8,12.3,38.0,104.0
Wayland,624120.0,598500.0,4.3,22.4,9.5,69.0,146.0
Wellesley,1180000.0,1068750.0,10.4,37.8,34.1,85.0,357.0
Wenham,571000.0,486500.0,17.4,3.8,4.8,117.0,31.0
West Bridgewater,270000.0,293500.0,-8.0,6.1,-18.2,97.0,69.0
West Newbury,483000.0,434000.0,11.3,8.4,3.4,136.0,49.0
Westford,492500.0,461000.0,6.8,17.5,6.1,83.0,210.0
Weston,1349000.0,1230000.0,9.7,11.7,7.9,100.0,156.0
Westwood,608600.0,610000.0,-0.2,16.8,11.2,66.0,184.0
Weymouth,317000.0,290000.0,9.3,13.2,-3.9,76.0,461.0
Whitman,264450.0,245000.0,7.9,-1.0,-11.9,93.0,127.0
Wilmington,375000.0,365000.0,2.7,11.9,4.2,62.0,263.0
Winchester,905000.0,825000.0,9.7,27.5,32.1,53.0,231.0
Winthrop,329000.0,325000.0,1.2,9.8,-11.1,75.0,80.0
Woburn,374950.0,358000.0,4.7,14.5,2.7,60.0,264.0
Wrentham,412500.0,412500.0,0.0,1.9,-6.3,111.0,136.0
